film_name,original_name,film_director,kinopoisk_rate,imdb_rate,difference
Последний самурай,The Last Samurai,Эдвард Цвик,8.066,7.7,0.36600000000000055
Индиана Джонс и последний крестовый поход,Indiana Jones and the Last Crusade,Стивен Спилберг,8.065,8.2,-0.1349999999999998
Мандарины,Mandariinid,Заза Урушадзе,8.062,8.2,-0.1379999999999999
Хоббит: Нежданное путешествие,The Hobbit: An Unexpected Journey,Питер Джексон,8.061,7.8,0.2610000000000001
Дурак,,Юрий Быков,8.059,8.0,0.058999999999999275
Ганди,Gandhi,Ричард Аттенборо,8.058,8.0,0.05799999999999983
Жизнь Дэвида Гейла,The Life of David Gale,Алан Паркер,8.057,7.6,0.45700000000000074
Золотая лихорадка,The Gold Rush,Чарльз Чаплин,8.057,8.2,-0.1429999999999989
Три идиота,3 Idiots,Раджкумар Хирани,8.054,8.4,-0.3460000000000001
Звёздные войны: Эпизод 3 – Месть Ситхов,Star Wars: Episode III - Revenge of the Sith,Джордж Лукас,8.054,7.5,0.5540000000000003
Холодное лето пятьдесят третьего...,,Александр Прошкин,8.052,7.9,0.15199999999999925
Военный ныряльщик,Men of Honor,Джордж Тиллман мл.,8.051,7.2,0.851
Рэй,Ray,Тейлор Хэкфорд,8.05,7.7,0.35000000000000053
Пока не сыграл в ящик,The Bucket List,Роб Райнер,8.048,7.4,0.6479999999999997
Загадочная история Бенджамина Баттона,The Curious Case of Benjamin Button,Дэвид Финчер,8.046,7.8,0.24599999999999955
Поющие под дождем,Singin' in the Rain,Стэнли Донен,8.043,8.3,-0.25700000000000145
Тренер Картер,Coach Carter,Томас Картер,8.04,7.3,0.7399999999999993
Завтра была война,,Юрий Кара,8.035,7.8,0.23500000000000032
Убить пересмешника,To Kill a Mockingbird,Роберт Маллиган,8.034,8.2,-0.1659999999999986
"Знакомьтесь, Джо Блэк",Meet Joe Black,Мартин Брест,8.031,7.2,0.8310000000000004
Схватка,Heat,Майкл Манн,8.031,8.2,-0.1689999999999987
Самый быстрый Indian,The World's Fastest Indian,Роджер Дональдсон,8.03,7.8,0.22999999999999954
Воин,Warrior,Гэвин О’Коннор,8.027,8.2,-0.17300000000000004
Хулиганы,Hooligans,Лекси Александр,8.026,7.5,0.5259999999999998
